City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,rayong,12.8333,101.4333,301.92,82,76,1.73,TH,1712876844
132,withernsea,53.7311,0.0335,289.31,88,100,9.3,GB,1712876844
133,namibe,-15.1961,12.1522,295.88,72,0,1.89,AO,1712876658
134,urengoy,65.9667,78.3667,252.58,92,100,7.14,RU,1712876844
135,vadso,70.0744,29.7487,274.24,75,100,9.26,NO,1712876648
136,rocha,-34.4833,-54.3333,289.29,56,96,2.58,UY,1712876800
137,pisco,-13.7,-76.2167,296.49,78,0,8.75,PE,1712876845
138,sept-iles,50.2001,-66.3821,274.85,92,100,5.14,CA,1712876826
139,la passe,45.5549,-0.8967,286.28,94,48,3.2,FR,1712876650
140,lagos,6.5833,3.75,302.33,85,100,3.7,NG,1712876463
141,al bawiti,28.3492,28.8659,292.31,32,2,3.07,EG,1712876845
142,acapulco de juarez,16.8634,-99.8901,298.91,68,3,3.08,MX,1712876574
143,uturoa,-16.7333,-151.4333,302.47,73,46,7.9,PF,1712876845
144,waddan,29.1614,16.139,291.8,24,3,7.14,LY,1712876653
145,st. john's,47.5649,-52.7093,275.81,78,0,5.14,CA,1712876800
146,fale old settlement,-9.3852,-171.2468,302.73,76,22,3.87,TK,1712876845
147,olyokminsk,60.3736,120.4264,264.3,78,98,3.45,RU,1712876846
148,labytnangi,66.6572,66.4183,266.69,95,100,6.01,RU,1712876846
149,enewetak,11.3474,162.3373,300.09,79,95,9.6,MH,1712876846
150,afaahiti,-17.75,-149.2833,303.08,87,89,7.39,PF,1712876846
151,mcallen,26.2034,-98.23,305.96,19,0,0.45,US,1712876846
152,powell river,49.8496,-124.5361,282.95,71,100,5.14,CA,1712876846
153,stanley,54.868,-1.6985,286.36,90,20,6.69,GB,1712876728
154,roorkee,29.8667,77.8833,295.64,25,10,2.85,IN,1712876846
155,sitka,57.0531,-135.33,280.09,57,40,7.2,US,1712876724
156,portland,45.5234,-122.6762,291.11,44,0,3.09,US,1712876569
157,murghob,38.1702,73.9667,263.28,64,96,3.24,TJ,1712876847
158,miass,55.045,60.1083,282.26,69,100,5.81,RU,1712876847
159,puchezh,56.9788,43.1676,278.36,79,43,4.4,RU,1712876847
